kata alay,kode,kata kamus,sequence matcher,minimum edit distance,perbaikan kata,perbaikan kata 2
agenterpercaya,A353A,agenda,0.5,9.0,agendanya,
agenterpercaya,A353A,agendanya,0.609,8.0,agendanya,
agenterpercaya,A353A,akomodasinya,0.308,11.0,agendanya,
agentkachina,A353A,abangga,0.316,9.0,agendanya,
agentkachina,A353A,abangnya,0.4,9.0,agendanya,
agentkachina,A353A,agenda,0.556,7.0,agendanya,
agentkachina,A353A,agendanya,0.667,6.0,agendanya,
agentkachina,A353A,akomodasinya,0.5,8.0,agendanya,
agentogelsgpresult,A353T,agamet,0.333,14.0,agamet,
agentogelsgpresult,A353T,akinet,0.25,14.0,agamet,
agentogelterpercaya,A353A,abangga,0.308,15.0,agendanya,
agentogelterpercaya,A353A,abangnya,0.37,14.0,agendanya,
agentogelterpercaya,A353A,agenda,0.4,14.0,agendanya,
agentogelterpercaya,A353A,agendanya,0.5,13.0,agendanya,
agentogelterpercaya,A353A,akomodasinya,0.258,15.0,agendanya,
agentpoker,A353R,agometer,0.667,6.0,agometer,
ager,A360R,abar,0.5,2.0,agar,
ager,A360R,abarabar,0.333,6.0,agar,
ager,A360R,abrar,0.444,3.0,agar,
ager,A360R,abur,0.5,2.0,agar,
ager,A360R,acar,0.5,2.0,agar,
ager,A360R,adar,0.5,2.0,agar,
ager,A360R,agar,0.75,1.0,agar,
ager,A360R,agaragar,0.5,5.0,agar,
ager,A360R,ajar,0.5,2.0,agar,
ager,A360R,ajarajar,0.333,6.0,agar,
ager,A360R,ajir,0.5,2.0,agar,
ager,A360R,ajur,0.5,2.0,agar,
ager,A360R,akar,0.5,2.0,agar,
ager,A360R,akarakar,0.333,6.0,agar,
ager,A360R,akor,0.5,2.0,agar,
agfeyxt,A321T,akhwat,0.308,5.0,akhwat,
aggatra,A336A,adikara,0.571,4.0,adikara,
aggatra,A336A,adikarya,0.533,5.0,adikara,
aggatra,A336A,adipura,0.429,4.0,adikara,
agh,A320H,abah,0.571,2.0,agah,
agh,A320H,abahabah,0.364,6.0,agah,
agh,A320H,abuh,0.571,2.0,agah,
agh,A320H,acah,0.571,2.0,agah,
agh,A320H,aceh,0.571,2.0,agah,
agh,A320H,acuh,0.571,2.0,agah,
agh,A320H,adahah,0.444,4.0,agah,
agh,A320H,adeh,0.571,2.0,agah,
agh,A320H,aduh,0.571,2.0,agah,
agh,A320H,agah,0.857,1.0,agah,
agh,A320H,agih,0.857,1.0,agah,agih
agh,A320H,agihagih,0.545,5.0,agah,
agh,A320H,ajeh,0.571,2.0,agah,
agh,A320H,ajujah,0.444,4.0,agah,
agh,A320H,akikah,0.444,4.0,agah,
aghniina,A325A,absensia,0.5,5.0,adventisia,
aghniina,A325A,acuhnya,0.533,5.0,adventisia,
aghniina,A325A,adventisia,0.556,6.0,adventisia,
aghniina,A325A,akhimya,0.533,4.0,adventisia,
agi,A300I,abai,0.571,2.0,abi,
agi,A300I,abi,0.667,1.0,abi,
agi,A300I,aboi,0.571,2.0,abi,
agi,A300I,aci,0.667,1.0,abi,aci
agi,A300I,aciaci,0.444,4.0,abi,
agi,A300I,adi,0.667,1.0,abi,adi
agi,A300I,aji,0.667,1.0,abi,aji
agi,A300I,ajiaji,0.444,4.0,abi,
agi,A300I,aki,0.667,1.0,abi,aki
agi,A300I,akiaki,0.444,4.0,abi,
agid,A330D,abad,0.5,2.0,abid,
agid,A330D,abid,0.75,1.0,abid,
agid,A330D,akad,0.5,2.0,abid,
agid,A330D,akaid,0.667,2.0,abid,
agik,A330K,abuk,0.5,2.0,acik,
agik,A330K,abukabuk,0.333,6.0,acik,
agik,A330K,acak,0.5,2.0,acik,
agik,A330K,acakacak,0.333,6.0,acik,
agik,A330K,acik,0.75,1.0,acik,
agik,A330K,adik,0.75,1.0,acik,adik
agik,A330K,aduk,0.5,2.0,acik,
agik,A330K,agak,0.75,1.0,acik,agak
agik,A330K,agakagak,0.5,5.0,acik,
agik,A330K,aguk,0.75,1.0,acik,aguk
agik,A330K,ajak,0.5,2.0,acik,
agik,A330K,ajek,0.5,2.0,acik,
agik,A330K,ajuk,0.5,2.0,acik,
agk,A330K,abuk,0.571,2.0,agak,
agk,A330K,abukabuk,0.364,6.0,agak,
agk,A330K,acak,0.571,2.0,agak,
agk,A330K,acakacak,0.364,6.0,agak,
agk,A330K,acik,0.571,2.0,agak,
agk,A330K,adik,0.571,2.0,agak,
agk,A330K,aduk,0.571,2.0,agak,
agk,A330K,agak,0.857,1.0,agak,
agk,A330K,agakagak,0.545,5.0,agak,
agk,A330K,aguk,0.857,1.0,agak,aguk
agk,A330K,ajak,0.571,2.0,agak,
agk,A330K,ajek,0.571,2.0,agak,
agk,A330K,ajuk,0.571,2.0,agak,
agka,A330A,abaka,0.667,2.0,abaka,
agka,A330A,adika,0.667,2.0,abaka,adika
agm,A350M,acum,0.571,2.0,agam,
agm,A350M,adam,0.571,2.0,agam,
agm,A350M,adem,0.571,2.0,agam,
agm,A350M,agam,0.857,1.0,agam,
agmin,A355N,abonemen,0.462,5.0,agamen,
agmin,A355N,acuman,0.545,3.0,agamen,
agmin,A355N,agamen,0.727,2.0,agamen,
agnation,A353N,abangan,0.4,5.0,agungkan,
agnation,A353N,acungkan,0.375,6.0,agungkan,
agnation,A353N,agungkan,0.625,5.0,agungkan,
agnation,A353N,ajengan,0.4,6.0,agungkan,
agnation,A353N,ajungan,0.4,6.0,agungkan,
agnesvk,A352K,agnostik,0.667,3.0,agnostik,
agnesvk,A352K,agonistik,0.625,4.0,agnostik,
ago,A300O,aco,0.667,1.0,agio,
ago,A300O,agio,0.857,1.0,agio,
ago,A300O,agogo,0.75,2.0,agio,
ago,A300O,akeo,0.571,2.0,agio,
agoes,A320S,abas,0.444,3.0,agas,
agoes,A320S,abis,0.444,3.0,agas,
agoes,A320S,abses,0.6,2.0,agas,
agoes,A320S,absis,0.4,3.0,agas,
agoes,A320S,abus,0.444,3.0,agas,
agoes,A320S,adas,0.444,3.0,agas,
agoes,A320S,aedes,0.6,2.0,agas,
agoes,A320S,agas,0.667,2.0,agas,
agoes,A320S,agus,0.667,2.0,agas,agus
agoes,A320S,akas,0.444,3.0,agas,
agogod,A330D,abad,0.4,4.0,abad,
agogod,A330D,abid,0.4,4.0,abad,abid
agogod,A330D,akad,0.4,4.0,abad,akad
agogod,A330D,akaid,0.364,4.0,abad,
agong,A350G,agung,0.8,1.0,agung,
agp,A330P,acap,0.571,2.0,acap,
agp,A330P,acapacap,0.364,6.0,acap,
agp,A330P,adap,0.571,2.0,acap,adap
agpearthhour,A336R,abatoar,0.316,7.0,agitator,
agpearthhour,A336R,abtar,0.353,9.0,agitator,
agpearthhour,A336R,abubakar,0.3,9.0,agitator,
agpearthhour,A336R,agitator,0.4,6.0,agitator,
agpearthhour,A336R,akbar,0.353,9.0,agitator,
agpeduli,A333I,abdikasi,0.375,6.0,abduksi,
agpeduli,A333I,abduksi,0.533,5.0,abduksi,
agpeduli,A333I,acapkali,0.5,5.0,abduksi,
agpeduli,A333I,adaptasi,0.375,6.0,abduksi,
agpeduli,A333I,adipati,0.4,6.0,abduksi,
agpedulibahkan,A333N,abadikan,0.545,8.0,akibatkan,
agpedulibahkan,A333N,akibatkan,0.609,7.0,akibatkan,
agpedulicegah,A333H,abjadiah,0.476,8.0,abjadiah,
agpedulicegah,A333H,aditokoh,0.381,9.0,abjadiah,
agpedulicegah,A333H,ajaibkhanah,0.333,10.0,abjadiah,
agpedulikemarin,A333N,abadikan,0.522,9.0,abadikan,
agpedulikemarin,A333N,akibatkan,0.417,11.0,abadikan,
agpedulikoordinator,A333R,abduktor,0.519,12.0,aduktor,
agpedulikoordinator,A333R,adapter,0.308,15.0,aduktor,
agpedulikoordinator,A333R,adaptometer,0.333,14.0,aduktor,
agpedulikoordinator,A333R,adaptor,0.385,14.0,aduktor,
agpedulikoordinator,A333R,aduktor,0.538,12.0,aduktor,
agpedulinah,A333H,abjadiah,0.526,6.0,abjadiah,
agpedulinah,A333H,aditokoh,0.421,8.0,abjadiah,
agpedulinah,A333H,ajaibkhanah,0.455,7.0,abjadiah,
agpedulipada,A333A,adiboga,0.316,8.0,akibatnya,
agpedulipada,A333A,adicita,0.316,8.0,akibatnya,
agpedulipada,A333A,adjektiva,0.286,8.0,akibatnya,
agpedulipada,A333A,akibatnya,0.381,10.0,akibatnya,
agpedulipendirian,A333N,abadikan,0.4,12.0,abadikan,
agpedulipendirian,A333N,akibatkan,0.308,13.0,abadikan,
agpedulitujuan,A333N,abadikan,0.455,9.0,abadikan,
agpedulitujuan,A333N,akibatkan,0.435,10.0,abadikan,
agr,A360R,abar,0.571,2.0,agar,
agr,A360R,abarabar,0.364,6.0,agar,
agr,A360R,abrar,0.5,3.0,agar,
agr,A360R,abur,0.571,2.0,agar,
agr,A360R,acar,0.571,2.0,agar,
agr,A360R,adar,0.571,2.0,agar,
agr,A360R,agar,0.857,1.0,agar,
agr,A360R,agaragar,0.545,5.0,agar,
agr,A360R,ajar,0.571,2.0,agar,
agr,A360R,ajarajar,0.364,6.0,agar,
agr,A360R,ajir,0.571,2.0,agar,
agr,A360R,ajur,0.571,2.0,agar,
agr,A360R,akar,0.571,2.0,agar,
agr,A360R,akarakar,0.364,6.0,agar,
agr,A360R,akor,0.571,2.0,agar,
agras,A362S,abras,0.8,1.0,agraris,
agras,A362S,abrus,0.6,2.0,agraris,
agras,A362S,adres,0.6,2.0,agraris,
agras,A362S,agraris,0.833,2.0,agraris,
agras,A362S,agresivitas,0.625,6.0,agraris,
agresifnya,A362A,adresnya,0.778,3.0,adresnya,
agresifnya,A362A,agorafobia,0.5,7.0,adresnya,
agresifnya,A362A,agrafia,0.588,5.0,adresnya,
agresifnya,A362A,akriflavina,0.571,8.0,adresnya,
agresifnya,A362A,akrofobia,0.421,7.0,adresnya,
agsa,A320A,adha,0.5,2.0,akasia,
agsa,A320A,akasia,0.6,3.0,akasia,
agspfqhuqe,A323E,abstraksionisme,0.24,12.0,abstraksionisme,
agspfqhuqeakibat,A323T,absit,0.381,12.0,absit,
agspfqhuqeakibat,A323T,advokat,0.348,12.0,absit,
agsstyn,A323N,abstain,0.571,4.0,abstain,
agsstyn,A323N,adstringen,0.471,7.0,abstain,
agsstyn,A323N,agihkan,0.429,4.0,abstain,
agsvevkf,A322F,adhesif,0.4,5.0,adhesif,
agsvevkfmnh,A322H,absah,0.375,8.0,absah,
aguardarei,A363I,abreaksi,0.444,6.0,agradasi,
aguardarei,A363I,abrupsi,0.353,7.0,agradasi,
aguardarei,A363I,agradasi,0.667,4.0,agradasi,
aguardarei,A363I,agrioekologi,0.455,9.0,agradasi,
aguardarei,A363I,agroekonomi,0.476,8.0,agradasi,
aguardarei,A363I,agroklimatologi,0.32,11.0,agradasi,
aguardarei,A363I,akreditasi,0.4,8.0,agradasi,
aguardarei,A363I,akreditisasi,0.364,10.0,agradasi,
aguloi,A340I,adili,0.545,3.0,akli,
aguloi,A340I,akali,0.545,3.0,akli,
aguloi,A340I,akli,0.6,3.0,akli,
aguskuya,A323A,abiseka,0.533,5.0,abiseka,
agustian,A323N,abstain,0.667,4.0,abstain,
agustian,A323N,adstringen,0.556,6.0,abstain,
agustian,A323N,agihkan,0.667,4.0,abstain,agihkan
agustin,A323N,abstain,0.714,3.0,abstain,
agustin,A323N,adstringen,0.588,6.0,abstain,
agustin,A323N,agihkan,0.571,4.0,abstain,
agustina,A323A,abiseka,0.4,5.0,abiseka,
agxtdimdolar,A323R,adihablur,0.476,7.0,adihablur,
agxtdimdolar,A323R,ajuster,0.316,10.0,adihablur,
agxtdimdolar,A323R,akhbar,0.333,9.0,adihablur,
ahahah,A200H,ah,0.5,4.0,ah,
ahahahaadek,A233K,afotik,0.235,9.0,afotik,
ahbocupberikut,A233T,afektit,0.381,11.0,afektit,
ahbocupberikut,A233T,ahadiat,0.381,10.0,afektit,
ahcepat,A233T,afektit,0.429,5.0,ahadiat,
ahcepat,A233T,ahadiat,0.571,3.0,ahadiat,
ahead,A230D,ahad,0.889,1.0,ahad,
ahgablink,A233K,afotik,0.4,6.0,afotik,
ahh,A200H,ah,0.8,1.0,ah,
ahhh,A200H,ah,0.667,2.0,ah,
ahhiya,A210A,afwa,0.4,4.0,afwa,
ahlakgada,A243A,ahlibahasa,0.632,5.0,ahlibahasa,
ahlaknya,A243A,ahlibahasa,0.556,5.0,ahlibahasa,
ahlaqdah,A242H,ahlusunah,0.588,4.0,ahlusunah,
ahlivirologi,A242I,afiliasi,0.4,8.0,afiliasi,
ahmadinejad,A253D,ahmad,0.625,6.0,ahmad,
ahok,A230K,afek,0.5,2.0,afek,
aiadmk,A353K,adenotropik,0.353,9.0,adenotropik,
aibon,A350N,abaian,0.545,4.0,abon,
aibon,A350N,aban,0.667,2.0,abon,
aibon,A350N,aben,0.667,2.0,abon,
aibon,A350N,abon,0.889,1.0,abon,
aibon,A350N,abuabuan,0.462,5.0,abon,
aibon,A350N,abuan,0.6,3.0,abon,
aibon,A350N,abun,0.667,2.0,abon,
aibon,A350N,abunabun,0.462,5.0,abon,
aibon,A350N,acan,0.444,3.0,abon,
aibon,A350N,aciacian,0.462,5.0,abon,
aibon,A350N,acian,0.6,3.0,abon,
aibon,A350N,acoacoan,0.462,5.0,abon,
aibon,A350N,acoan,0.6,3.0,abon,
aibon,A350N,acuan,0.4,3.0,abon,
aibon,A350N,adan,0.444,3.0,abon,
aibon,A350N,adenin,0.545,4.0,abon,
aibon,A350N,adnan,0.4,3.0,abon,
aibon,A350N,adon,0.667,2.0,abon,
aibon,A350N,adonan,0.545,4.0,abon,
aibon,A350N,aduan,0.4,3.0,abon,
aibon,A350N,adun,0.444,3.0,abon,
aibon,A350N,adunan,0.364,4.0,abon,
aibon,A350N,agan,0.444,3.0,abon,
aibon,A350N,agen,0.444,3.0,abon,
aibon,A350N,agon,0.667,2.0,abon,
aibon,A350N,agun,0.444,3.0,abon,
aibon,A350N,agunan,0.364,4.0,abon,
aibon,A350N,ajuan,0.4,3.0,abon,
aibon,A350N,ajun,0.444,3.0,abon,
aibon,A350N,akan,0.444,3.0,abon,
aibon,A350N,akanakan,0.308,6.0,abon,
aibon,A350N,akanan,0.364,4.0,abon,
aic,A300C,ac,0.8,1.0,ac,
aice,A300E,ade,0.571,2.0,ade,
aichi,A320I,absisi,0.545,4.0,adisi,
aichi,A320I,adisi,0.6,3.0,adisi,
aichi,A320I,aduhai,0.364,3.0,adisi,
aidilfitri,A342I,ablasi,0.25,7.0,abolisi,
aidilfitri,A342I,ablusi,0.25,7.0,abolisi,
aidilfitri,A342I,abolisi,0.353,6.0,abolisi,
aidit,A330T,abet,0.444,3.0,adat,
aidit,A330T,acat,0.444,3.0,adat,
aidit,A330T,adat,0.667,2.0,adat,
aidit,A330T,adatadat,0.462,5.0,adat,
aidit,A330T,agut,0.444,3.0,adat,
aidit,A330T,agutagut,0.308,6.0,adat,
aids,A320S,abas,0.5,2.0,abis,
aids,A320S,abis,0.75,2.0,abis,
aids,A320S,abses,0.444,3.0,abis,
aids,A320S,absis,0.667,3.0,abis,
aids,A320S,abus,0.5,2.0,abis,
aids,A320S,adas,0.75,2.0,abis,adas
aids,A320S,aedes,0.667,2.0,abis,
aids,A320S,agas,0.5,2.0,abis,
aids,A320S,agus,0.5,2.0,abis,
aids,A320S,akas,0.5,2.0,abis,
aidzin,A325N,absen,0.364,4.0,adven,
aidzin,A325N,absonan,0.308,5.0,adven,
aidzin,A325N,abuhabuhan,0.25,8.0,adven,
aidzin,A325N,abuhan,0.333,4.0,adven,
aidzin,A325N,acuhan,0.333,4.0,adven,
aidzin,A325N,adven,0.545,3.0,adven,
aidzin,A325N,agihan,0.5,4.0,adven,
aidzin,A325N,ajufan,0.333,4.0,adven,
aight,A323T,absit,0.6,3.0,absit,
aight,A323T,advokat,0.333,5.0,absit,
aigooo,A300O,aco,0.444,4.0,agogo,
aigooo,A300O,agio,0.6,3.0,agogo,
aigooo,A300O,agogo,0.727,2.0,agogo,
aigooo,A300O,akeo,0.4,4.0,agogo,
aiguu,A300U,abau,0.444,3.0,aiku,
aiguu,A300U,abu,0.5,3.0,aiku,
aiguu,A300U,abuabu,0.545,4.0,aiku,
aiguu,A300U,acau,0.444,3.0,aiku,
aiguu,A300U,acu,0.5,3.0,aiku,
aiguu,A300U,adu,0.5,3.0,aiku,
aiguu,A300U,aiku,0.667,2.0,aiku,
aiguu,A300U,aju,0.5,3.0,aiku,
aih,A200H,ah,0.8,1.0,ah,
aihhhh,A200H,ah,0.5,4.0,ah,
aii,A000I,ai,0.8,1.0,ai,
aik,A300K,akak,0.571,2.0,akik,
aik,A300K,akik,0.857,1.0,akik,
aipda,A330A,abaka,0.4,3.0,adika,
aipda,A330A,adika,0.6,3.0,adika,
aiptu,A330U,abdu,0.444,3.0,aibku,
aiptu,A330U,adikku,0.545,3.0,aibku,
aiptu,A330U,aibku,0.6,2.0,aibku,
airforcejustdoit,A623T,aerostat,0.5,10.0,aerostat,
aisyiyah,A212H,aisyah,0.857,2.0,aisyah,
ajaa,A300A,aba,0.571,2.0,aja,
ajaa,A300A,abaaba,0.6,3.0,aja,
ajaa,A300A,ada,0.571,2.0,aja,
ajaa,A300A,aja,0.857,1.0,aja,
ajaaa,A300A,aba,0.5,3.0,aja,
ajaaa,A300A,abaaba,0.727,2.0,aja,
ajaaa,A300A,ada,0.5,3.0,aja,
ajaaa,A300A,aja,0.75,2.0,aja,
ajaaaa,A300A,aba,0.444,4.0,abaaba,
ajaaaa,A300A,abaaba,0.667,2.0,abaaba,
ajaaaa,A300A,ada,0.444,4.0,abaaba,
ajaaaa,A300A,aja,0.667,3.0,abaaba,aja
ajaaaaa,A300A,aba,0.4,5.0,abaaba,
ajaaaaa,A300A,abaaba,0.615,3.0,abaaba,
ajaaaaa,A300A,ada,0.4,5.0,abaaba,
ajaaaaa,A300A,aja,0.6,4.0,abaaba,
ajaaaaaa,A300A,aba,0.364,6.0,abaaba,
ajaaaaaa,A300A,abaaba,0.571,4.0,abaaba,
ajaaaaaa,A300A,ada,0.364,6.0,abaaba,
ajaaaaaa,A300A,aja,0.545,5.0,abaaba,
ajaaaaaaaaaaa,A300A,aba,0.25,11.0,abaaba,
ajaaaaaaaaaaa,A300A,abaaba,0.421,9.0,abaaba,
ajaaaaaaaaaaa,A300A,ada,0.25,11.0,abaaba,
ajaaaaaaaaaaa,A300A,aja,0.375,10.0,abaaba,
ajaaaaamiin,A355N,abonemen,0.316,8.0,agamen,
ajaaaaamiin,A355N,acuman,0.353,8.0,agamen,
ajaaaaamiin,A355N,agamen,0.471,7.0,agamen,
ajaaaajauh,A320H,abah,0.429,7.0,ajujah,
ajaaaajauh,A320H,abahabah,0.556,5.0,ajujah,
ajaaaajauh,A320H,abuh,0.429,7.0,ajujah,
ajaaaajauh,A320H,acah,0.429,7.0,ajujah,
ajaaaajauh,A320H,aceh,0.286,8.0,ajujah,
ajaaaajauh,A320H,acuh,0.429,7.0,ajujah,
ajaaaajauh,A320H,adahah,0.5,6.0,ajujah,
ajaaaajauh,A320H,adeh,0.286,8.0,ajujah,
ajaaaajauh,A320H,aduh,0.429,7.0,ajujah,
ajaaaajauh,A320H,agah,0.429,7.0,ajujah,
ajaaaajauh,A320H,agih,0.286,8.0,ajujah,
ajaaaajauh,A320H,agihagih,0.333,7.0,ajujah,
ajaaaajauh,A320H,ajeh,0.429,7.0,ajujah,
ajaaaajauh,A320H,ajujah,0.625,5.0,ajujah,
ajaaaajauh,A320H,akikah,0.375,7.0,ajujah,
ajaaagak,A333K,abiotik,0.267,6.0,adiabatik,
ajaaagak,A333K,adiabatik,0.471,5.0,adiabatik,
ajaaagak,A333K,adiaktinik,0.333,7.0,adiabatik,
ajaaagak,A333K,adikberadik,0.316,8.0,adiabatik,
ajaaamiin,A355N,abonemen,0.353,6.0,agamen,
ajaaamiin,A355N,acuman,0.4,6.0,agamen,
ajaaamiin,A355N,agamen,0.533,5.0,agamen,
ajaaas,A320S,abas,0.6,3.0,abas,
ajaaas,A320S,abis,0.4,4.0,abas,
ajaaas,A320S,abses,0.364,4.0,abas,
ajaaas,A320S,absis,0.364,4.0,abas,
ajaaas,A320S,abus,0.4,4.0,abas,
ajaaas,A320S,adas,0.6,3.0,abas,adas
ajaaas,A320S,aedes,0.364,4.0,abas,
ajaaas,A320S,agas,0.6,3.0,abas,agas
ajaaas,A320S,agus,0.4,4.0,abas,
ajaaas,A320S,akas,0.6,3.0,abas,akas
ajaaaskenapaaa,A323A,abiseka,0.19,10.0,abiseka,
ajaaaudah,A332H,abadiah,0.625,5.0,abadiah,
ajaaaudah,A332H,abduh,0.429,6.0,abadiah,
ajaaaudah,A332H,adabiah,0.5,5.0,abadiah,
ajaaaudah,A332H,adakah,0.533,5.0,abadiah,
ajaaaudah,A332H,agakagih,0.471,5.0,abadiah,
ajaaaudah,A332H,akidah,0.533,5.0,abadiah,
ajaagausah,A332H,abadiah,0.471,6.0,agakagih,
ajaagausah,A332H,abduh,0.4,7.0,agakagih,
ajaagausah,A332H,adabiah,0.471,6.0,agakagih,
ajaagausah,A332H,adakah,0.5,6.0,agakagih,
ajaagausah,A332H,agakagih,0.556,6.0,agakagih,
ajaagausah,A332H,akidah,0.375,7.0,agakagih,
ajaaiyaa,A310A,abuya,0.462,5.0,adidaya,
ajaaiyaa,A310A,adidaya,0.533,5.0,adidaya,
ajaaiyaa,A310A,adiwidia,0.25,5.0,adidaya,
ajaajan,A350N,abaian,0.615,3.0,ajuan,
ajaajan,A350N,aban,0.545,4.0,ajuan,
ajaajan,A350N,aben,0.364,5.0,ajuan,
ajaajan,A350N,abon,0.364,5.0,ajuan,
ajaajan,A350N,abuabuan,0.533,4.0,ajuan,
ajaajan,A350N,abuan,0.5,4.0,ajuan,
ajaajan,A350N,abun,0.364,5.0,ajuan,
ajaajan,A350N,abunabun,0.4,5.0,ajuan,
ajaajan,A350N,acan,0.545,4.0,ajuan,
ajaajan,A350N,aciacian,0.533,4.0,ajuan,
ajaajan,A350N,acian,0.5,4.0,ajuan,
ajaajan,A350N,acoacoan,0.533,4.0,ajuan,
ajaajan,A350N,acoan,0.5,4.0,ajuan,
ajaajan,A350N,acuan,0.5,4.0,ajuan,
ajaajan,A350N,adan,0.545,4.0,ajuan,
ajaajan,A350N,adenin,0.308,5.0,ajuan,
ajaajan,A350N,adnan,0.5,4.0,ajuan,
ajaajan,A350N,adon,0.364,5.0,ajuan,
ajaajan,A350N,adonan,0.462,4.0,ajuan,
ajaajan,A350N,aduan,0.5,4.0,ajuan,
ajaajan,A350N,adun,0.364,5.0,ajuan,
ajaajan,A350N,adunan,0.462,4.0,ajuan,
ajaajan,A350N,agan,0.545,4.0,ajuan,
ajaajan,A350N,agen,0.364,5.0,ajuan,
ajaajan,A350N,agon,0.364,5.0,ajuan,
ajaajan,A350N,agun,0.364,5.0,ajuan,
ajaajan,A350N,agunan,0.462,4.0,ajuan,
ajaajan,A350N,ajuan,0.667,3.0,ajuan,
ajaajan,A350N,ajun,0.545,4.0,ajuan,
ajaajan,A350N,akan,0.545,4.0,ajuan,
ajaajan,A350N,akanakan,0.4,3.0,ajuan,
ajaajan,A350N,akanan,0.462,3.0,ajuan,
ajaamudik,A353K,adenotropik,0.4,8.0,adenotropik,
ajaanapa,A353A,abangga,0.533,4.0,abangga,
ajaanapa,A353A,abangnya,0.5,5.0,abangga,
ajaanapa,A353A,agenda,0.286,5.0,abangga,
ajaanapa,A353A,agendanya,0.471,6.0,abangga,
ajaanapa,A353A,akomodasinya,0.3,9.0,abangga,
ajaasi,A320I,absisi,0.5,3.0,adisi,
ajaasi,A320I,adisi,0.545,3.0,adisi,
ajaasi,A320I,aduhai,0.5,4.0,adisi,
ajabacot,A333T,adekuat,0.4,6.0,adiabat,
ajabacot,A333T,adiabat,0.667,4.0,adiabat,
ajabacot,A333T,adibibit,0.375,5.0,adiabat,
ajabacot,A333T,adpokat,0.4,6.0,adiabat,
ajabacot,A333T,akibat,0.571,4.0,adiabat,
ajabener,A335R,adipenghantar,0.381,9.0,adipenghantar,
ajacepet,A333T,adekuat,0.4,6.0,akibat,
ajacepet,A333T,adiabat,0.4,6.0,akibat,
ajacepet,A333T,adibibit,0.25,6.0,akibat,
ajacepet,A333T,adpokat,0.4,6.0,akibat,
ajacepet,A333T,akibat,0.429,6.0,akibat,
ajacepetan,A333N,abadikan,0.444,6.0,akibatkan,
ajacepetan,A333N,akibatkan,0.526,7.0,akibatkan,
ajacintaku,A335U,adikmu,0.5,7.0,ajakanmu,
ajacintaku,A335U,ajakanmu,0.556,5.0,ajakanmu,
ajacuman,A335N,abaikan,0.533,4.0,acukan,
ajacuman,A335N,abdomen,0.4,5.0,acukan,
ajacuman,A335N,abidin,0.286,6.0,acukan,
ajacuman,A335N,acakacakan,0.444,5.0,acukan,
ajacuman,A335N,acakan,0.571,4.0,acukan,
ajacuman,A335N,acatan,0.571,4.0,acukan,
ajacuman,A335N,acikan,0.571,4.0,acukan,
ajacuman,A335N,acukan,0.714,3.0,acukan,
ajacuman,A335N,adakan,0.571,4.0,acukan,
ajacuman,A335N,adapadapan,0.444,6.0,acukan,
ajacuman,A335N,adapan,0.571,4.0,acukan,
ajacuman,A335N,adapun,0.571,4.0,acukan,
ajacuman,A335N,adegan,0.429,5.0,acukan,
ajacuman,A335N,adukadukan,0.556,5.0,acukan,
ajacuman,A335N,adukan,0.571,4.0,acukan,
ajacuman,A335N,adukkan,0.533,5.0,acukan,
ajacuman,A335N,agakan,0.571,4.0,acukan,
ajacuman,A335N,ajaiban,0.667,3.0,acukan,
ajacuman,A335N,ajakan,0.714,3.0,acukan,ajakan
ajacuman,A335N,ajudan,0.714,3.0,acukan,ajudan
ajacuman,A335N,ajukan,0.714,3.0,acukan,ajukan
ajad,A330D,abad,0.75,1.0,abad,
ajad,A330D,abid,0.5,2.0,abad,
ajad,A330D,akad,0.75,1.0,abad,akad
ajad,A330D,akaid,0.667,2.0,abad,
ajadah,A332H,abadiah,0.769,2.0,abadiah,
ajadah,A332H,abduh,0.545,3.0,abadiah,
ajadah,A332H,adabiah,0.615,3.0,abadiah,
ajadah,A332H,adakah,0.667,2.0,abadiah,
ajadah,A332H,agakagih,0.571,4.0,abadiah,
ajadah,A332H,akidah,0.667,2.0,abadiah,
ajadaripada,A336A,adikara,0.556,6.0,adikara,
ajadaripada,A336A,adikarya,0.526,7.0,adikara,
ajadaripada,A336A,adipura,0.556,6.0,adikara,adipura
ajadeh,A332H,abadiah,0.615,3.0,abadiah,
ajadeh,A332H,abduh,0.545,3.0,abadiah,
ajadeh,A332H,adabiah,0.462,4.0,abadiah,
ajadeh,A332H,adakah,0.5,3.0,abadiah,
ajadeh,A332H,agakagih,0.429,5.0,abadiah,
ajadeh,A332H,akidah,0.5,3.0,abadiah,
ajadi,A330I,abadi,0.8,1.0,abadi,
ajadi,A330I,abdi,0.667,2.0,abadi,
ajadi,A330I,adaibadai,0.429,5.0,abadi,
ajadi,A330I,adati,0.6,2.0,abadi,
ajaga,A330A,abaka,0.6,2.0,abaka,
ajaga,A330A,adika,0.4,3.0,abaka,
ajagak,A333K,abiotik,0.308,5.0,adiabatik,
ajagak,A333K,adiabatik,0.533,5.0,adiabatik,
ajagak,A333K,adiaktinik,0.375,7.0,adiabatik,
ajagak,A333K,adikberadik,0.353,8.0,adiabatik,
ajagausah,A332H,abadiah,0.5,5.0,agakagih,
ajagausah,A332H,abduh,0.429,6.0,agakagih,
ajagausah,A332H,adabiah,0.5,5.0,agakagih,
ajagausah,A332H,adakah,0.533,5.0,agakagih,
ajagausah,A332H,agakagih,0.588,5.0,agakagih,
ajagausah,A332H,akidah,0.4,6.0,agakagih,
ajagk,A333K,abiotik,0.333,5.0,adiabatik,
